Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|"From|, |0|, |0|, |1|, |1|, |2|
|lovely.|, |0|, |0|, |1|, |0|, |1|
|everything,|, |0|, |0|, |1|, |0|, |1|
|grass-plot,|, |0|, |0|, |0|, |1|, |1|
|before--that|, |0|, |0|, |0|, |1|, |1|
|spirit;|, |0|, |0|, |1|, |0|, |1|
|read|, |4|, |4|, |4|, |4|, |16|
|umbrageous|, |0|, |1|, |0|, |1|, |2|
|wide.|, |0|, |0|, |1|, |1|, |2|
|Alcibiade!"|, |0|, |0|, |1|, |1|, |2|
|bedclothes.|, |0|, |0|, |1|, |0|, |1|
|holiday,|, |0|, |0|, |0|, |1|, |1|
|clear|, |4|, |2|, |4|, |2|, |12|
|gayly|, |0|, |1|, |0|, |0|, |1|
|much:|, |0|, |0|, |1|, |0|, |1|
|delicious."|, |0|, |0|, |0|, |1|, |1|
|To-day|, |1|, |1|, |0|, |0|, |2|
|Countess--he|, |0|, |0|, |1|, |0|, |1|
|Occasionally,|, |0|, |0|, |1|, |1|, |2|
|profile;|, |0|, |0|, |1|, |1|, |2|
|spirits|, |1|, |0|, |1|, |0|, |2|
|what's|, |0|, |0|, |1|, |0|, |1|
|"C'est|, |0|, |0|, |1|, |0|, |1|
|description|, |1|, |1|, |1|, |1|, |4|
|confined.|, |0|, |0|, |1|, |1|, |2|
|rate,|, |0|, |0|, |1|, |1|, |2|
|for|, |77|, |59|, |72|, |59|, |267|
|rack.|, |0|, |0|, |1|, |0|, |1|
|'ll|, |20|, |0|, |0|, |0|, |20|
|best|, |2|, |2|, |2|, |2|, |8|
|bouk,|, |0|, |0|, |0|, |1|, |1|
|see|, |21|, |17|, |15|, |14|, |67|
|act|, |2|, |1|, |1|, |1|, |5|
|Manger_|, |0|, |1|, |0|, |0|, |1|
|used|, |5|, |5|, |5|, |5|, |20|
|portfolios,|, |0|, |0|, |1|, |1|, |2|
|beguiling|, |1|, |0|, |1|, |0|, |2|
|rigmarole!"|, |0|, |0|, |1|, |0|, |1|
|steep-roofed,|, |0|, |0|, |0|, |1|, |1|
|brutal|, |0|, |1|, |0|, |0|, |1|
|feebly,|, |0|, |0|, |0|, |1|, |1|
|light-colored|, |0|, |1|, |0|, |1|, |2|
|covered|, |1|, |1|, |1|, |1|, |4|
|primordial|, |0|, |1|, |0|, |0|, |1|
|variance|, |1|, |1|, |1|, |1|, |4|
|Happy|, |0|, |1|, |0|, |0|, |1|
|certain|, |4|, |2|, |4|, |2|, |12|
|dizzy|, |1|, |1|, |1|, |1|, |4|
|"Do|, |0|, |0|, |5|, |5|, |10|
|bit,"|, |0|, |0|, |1|, |1|, |2|
|coffee.|, |0|, |0|, |3|, |3|, |6|
|hour--they|, |0|, |0|, |1|, |0|, |1|
|contemplation.|, |0|, |0|, |1|, |1|, |2|
|after-time,|, |0|, |0|, |1|, |0|, |1|
|wait|, |3|, |2|, |2|, |2|, |9|
