Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|least,|, |0|, |0|, |1|, |0|, |1|
|convenience|, |1|, |1|, |0|, |0|, |2|
|hurry|, |1|, |1|, |1|, |1|, |4|
|conviction|, |2|, |0|, |1|, |0|, |3|
|art|, |1|, |1|, |0|, |0|, |2|
|yourself|, |2|, |2|, |1|, |1|, |6|
|spain|, |0|, |0|, |0|, |0|, |0|
|letter|, |3|, |3|, |1|, |1|, |8|
|permitted|, |1|, |0|, |1|, |0|, |2|
|pretending|, |1|, |0|, |1|, |0|, |2|
|rejoin|, |0|, |1|, |0|, |0|, |1|
|vivid|, |2|, |2|, |2|, |2|, |8|
|disease,|, |0|, |0|, |1|, |0|, |1|
|expressed|, |2|, |2|, |2|, |2|, |8|
|prepared.|, |0|, |0|, |1|, |0|, |1|
|parlance,|, |0|, |0|, |1|, |1|, |2|
|displayed|, |1|, |0|, |1|, |0|, |2|
|jacket,|, |0|, |0|, |1|, |1|, |2|
|fear,|, |0|, |0|, |2|, |0|, |2|
|matched|, |1|, |0|, |0|, |0|, |1|
|shapes|, |1|, |1|, |1|, |1|, |4|
|felt,|, |0|, |0|, |1|, |0|, |1|
|beside|, |5|, |4|, |5|, |4|, |18|
|pensioner|, |1|, |0|, |0|, |0|, |1|
|surprise,|, |0|, |0|, |0|, |1|, |1|
|places|, |1|, |1|, |1|, |1|, |4|
|brutal|, |0|, |1|, |0|, |0|, |1|
|_café_,"|, |0|, |0|, |0|, |1|, |1|
|church|, |4|, |4|, |3|, |3|, |14|
|circular|, |3|, |3|, |3|, |3|, |12|
|after-time,|, |0|, |0|, |1|, |0|, |1|
|time.|, |0|, |0|, |2|, |1|, |3|
|during|, |1|, |1|, |1|, |1|, |4|
|309|, |1|, |0|, |0|, |0|, |1|
|murmured|, |1|, |3|, |1|, |1|, |6|
|ribbon.|, |0|, |0|, |1|, |1|, |2|
|tenderly.|, |0|, |0|, |1|, |1|, |2|
|deeply-dimpled|, |1|, |0|, |1|, |0|, |2|
|doesn't|, |0|, |0|, |2|, |1|, |3|
|hundreds|, |1|, |0|, |1|, |0|, |2|
|goodness|, |1|, |0|, |0|, |0|, |1|
|greasy|, |1|, |1|, |1|, |1|, |4|
|"ever|, |0|, |0|, |0|, |0|, |0|
|probably|, |0|, |1|, |0|, |1|, |2|
|lucky!--we|, |0|, |0|, |1|, |0|, |1|
|best|, |2|, |2|, |2|, |2|, |8|
|kills|, |1|, |0|, |1|, |0|, |2|
|instant|, |5|, |5|, |2|, |1|, |13|
|bien!"|, |0|, |0|, |1|, |0|, |1|
|decided.|, |0|, |0|, |1|, |0|, |1|
|done,|, |0|, |0|, |1|, |0|, |1|
|grimwinter.|, |0|, |0|, |0|, |0|, |0|
|antechamber,|, |0|, |0|, |0|, |1|, |1|
|enquiringly|, |1|, |0|, |1|, |0|, |2|
|person--so|, |0|, |0|, |1|, |0|, |1|
|what|, |26|, |20|, |24|, |19|, |89|
|eye,"|, |0|, |0|, |1|, |1|, |2|
|"a|, |0|, |0|, |0|, |0|, |0|
|byron|, |0|, |0|, |0|, |0|, |0|
|our|, |12|, |5|, |12|, |5|, |34|
|o|, |0|, |1|, |0|, |1|, |2|
|ask.|, |0|, |0|, |1|, |0|, |1|
|dinner.|, |0|, |0|, |1|, |1|, |2|
|there.|, |0|, |0|, |2|, |2|, |4|
|arrive.|, |0|, |0|, |1|, |1|, |2|
|inquired,|, |0|, |0|, |0|, |2|, |2|
|course|, |7|, |4|, |5|, |3|, |19|
|midday|, |0|, |1|, |0|, |0|, |1|
|'s|, |115|, |47|, |0|, |1|, |163|
|attention.|, |0|, |0|, |1|, |0|, |1|
|fluttered|, |2|, |2|, |1|, |1|, |6|
|shutters|, |1|, |1|, |1|, |1|, |4|
|are."|, |0|, |0|, |0|, |0|, |0|
|allowed|, |1|, |1|, |0|, |1|, |3|
|meetings|, |1|, |1|, |1|, |1|, |4|
|sorry|, |2|, |4|, |2|, |3|, |11|
|impressions.|, |0|, |0|, |1|, |1|, |2|
|pisa|, |0|, |0|, |0|, |0|, |0|
|sick|, |1|, |1|, |0|, |0|, |2|
|mistake|, |1|, |0|, |1|, |0|, |2|
|sensation,|, |0|, |0|, |0|, |1|, |1|
|"i've|, |0|, |0|, |0|, |0|, |0|
|convinced|, |1|, |0|, |1|, |0|, |2|
|statuesque|, |1|, |1|, |0|, |0|, |2|
|intensely|, |2|, |1|, |1|, |1|, |5|
|271|, |1|, |0|, |0|, |0|, |1|
|_elles|, |1|, |0|, |0|, |0|, |1|
|measuring|, |1|, |0|, |1|, |0|, |2|
|pretend|, |2|, |1|, |1|, |1|, |5|
|bad|, |6|, |6|, |3|, |3|, |18|
|romantic.|, |0|, |0|, |1|, |1|, |2|
|colour,"|, |0|, |0|, |1|, |0|, |1|
