Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|mistaken,|, |0|, |0|, |0|, |1|, |1|
|perverse|, |0|, |1|, |0|, |1|, |2|
|knows?|, |0|, |0|, |1|, |1|, |2|
|waiter.|, |0|, |0|, |1|, |1|, |2|
|came|, |15|, |16|, |14|, |15|, |60|
|they're|, |0|, |0|, |1|, |0|, |1|
|yes,"|, |0|, |0|, |1|, |1|, |2|
|train,|, |0|, |0|, |0|, |2|, |2|
|sufficiently|, |1|, |2|, |1|, |2|, |6|
|"never!"|, |0|, |0|, |0|, |0|, |0|
|countess's|, |0|, |0|, |0|, |0|, |0|
|knows|, |1|, |1|, |0|, |0|, |2|
|sort|, |4|, |5|, |1|, |3|, |13|
|from|, |24|, |22|, |24|, |22|, |92|
|visible|, |1|, |0|, |1|, |0|, |2|
|(to|, |0|, |0|, |1|, |0|, |1|
|right|, |12|, |3|, |9|, |2|, |26|
|harder,|, |0|, |0|, |1|, |0|, |1|
|day,|, |0|, |0|, |1|, |3|, |4|
|fastened|, |1|, |1|, |1|, |1|, |4|
|end|, |3|, |3|, |3|, |3|, |12|
|;|, |79|, |126|, |0|, |0|, |205|
|lapse|, |1|, |0|, |1|, |0|, |2|
|ends|, |1|, |1|, |1|, |0|, |3|
|_a|, |1|, |1|, |1|, |1|, |4|
|cultivated|, |1|, |0|, |1|, |0|, |2|
|copies|, |0|, |1|, |0|, |1|, |2|
|adores|, |1|, |1|, |1|, |1|, |4|
|is|, |20|, |68|, |9|, |63|, |160|
|us|, |17|, |9|, |13|, |5|, |44|
|dining-room|, |0|, |1|, |0|, |0|, |1|
|somehow|, |3|, |1|, |3|, |0|, |7|
|express|, |1|, |0|, |1|, |0|, |2|
|everything--i'll|, |0|, |0|, |0|, |0|, |0|
|descriptions|, |1|, |1|, |1|, |1|, |4|
|else,|, |0|, |0|, |1|, |1|, |2|
|brown|, |1|, |0|, |1|, |0|, |2|
|admiration|, |1|, |2|, |1|, |2|, |6|
|vista|, |1|, |0|, |1|, |0|, |2|
|liberty|, |2|, |2|, |2|, |2|, |8|
|heures,|, |0|, |0|, |1|, |0|, |1|
|ruined|, |1|, |2|, |1|, |1|, |5|
|verona.|, |0|, |0|, |0|, |0|, |0|
|leer|, |1|, |1|, |0|, |0|, |2|
|infallibly|, |1|, |0|, |1|, |0|, |2|
|you|, |131|, |110|, |87|, |89|, |417|
|276|, |1|, |0|, |0|, |0|, |1|
|fellow,|, |0|, |0|, |1|, |2|, |3|
|staring|, |4|, |5|, |2|, |3|, |14|
|which|, |43|, |27|, |38|, |24|, |132|
|pupils|, |2|, |2|, |1|, |1|, |6|
|arranging|, |1|, |1|, |1|, |1|, |4|
|monsieur!|, |0|, |0|, |0|, |1|, |1|
|avignon,|, |0|, |0|, |0|, |0|, |0|
|wrong.|, |0|, |0|, |1|, |0|, |1|
|tender-looking|, |0|, |1|, |0|, |1|, |2|
|havre?"|, |0|, |0|, |0|, |0|, |0|
|stay|, |4|, |4|, |3|, |4|, |15|
|hens|, |1|, |1|, |0|, |0|, |2|
|angry|, |0|, |1|, |0|, |1|, |2|
|velvet|, |3|, |3|, |3|, |3|, |12|
|graciously|, |1|, |1|, |1|, |1|, |4|
|knees,|, |0|, |0|, |1|, |0|, |1|
|debts?"|, |0|, |0|, |0|, |1|, |1|
|about."|, |0|, |0|, |1|, |0|, |1|
|flow|, |1|, |0|, |1|, |0|, |2|
|_me|, |1|, |0|, |1|, |0|, |2|
|persisted.|, |0|, |0|, |1|, |0|, |1|
|nose,|, |0|, |0|, |0|, |1|, |1|
|lover!|, |0|, |0|, |0|, |1|, |1|
|answering,|, |0|, |0|, |1|, |1|, |2|
|water|, |2|, |1|, |1|, |0|, |4|
|towards|, |0|, |1|, |0|, |1|, |2|
|hear|, |3|, |1|, |3|, |1|, |8|
|tried|, |2|, |3|, |2|, |3|, |10|
|"before|, |0|, |0|, |0|, |0|, |0|
|refused|, |1|, |0|, |1|, |0|, |2|
|buried|, |1|, |1|, |1|, |1|, |4|
|dingier|, |1|, |0|, |1|, |0|, |2|
|dryly.|, |0|, |0|, |1|, |0|, |1|
|less,|, |0|, |0|, |2|, |0|, |2|
|houses;|, |0|, |0|, |1|, |1|, |2|
|leer.|, |0|, |0|, |1|, |1|, |2|
|blushed|, |1|, |3|, |1|, |3|, |8|
|"ruche,"|, |0|, |0|, |0|, |1|, |1|
|communed|, |1|, |0|, |1|, |0|, |2|
|exile|, |1|, |1|, |0|, |0|, |2|
|then?"|, |0|, |0|, |0|, |1|, |1|
|i.|, |0|, |0|, |0|, |0|, |0|
|also|, |6|, |3|, |5|, |3|, |17|
|provided|, |1|, |1|, |1|, |1|, |4|
|getting|, |2|, |2|, |2|, |1|, |7|
|path.|, |0|, |0|, |0|, |1|, |1|
|sympathy,"|, |0|, |0|, |0|, |1|, |1|
|pink|, |7|, |6|, |7|, |6|, |26|
|"monsieur!"|, |0|, |0|, |0|, |0|, |0|
|nearer,|, |0|, |0|, |1|, |1|, |2|
|warm|, |1|, |1|, |1|, |1|, |4|
|would|, |15|, |16|, |9|, |16|, |56|
|place|, |14|, |13|, |7|, |7|, |41|
|finished|, |3|, |3|, |2|, |3|, |11|
|gaze|, |4|, |4|, |3|, |2|, |13|
|way|, |16|, |11|, |9|, |6|, |42|
|picturesqueness|, |0|, |1|, |0|, |0|, |1|
|attitude.|, |0|, |0|, |0|, |1|, |1|
|making|, |3|, |2|, |3|, |2|, |10|
|before,|, |0|, |0|, |1|, |1|, |2|
|sensibility|, |1|, |0|, |1|, |0|, |2|
|girl|, |2|, |4|, |2|, |2|, |10|
|place!"|, |0|, |0|, |1|, |1|, |2|
|again.|, |0|, |0|, |4|, |8|, |12|
|i;|, |0|, |0|, |0|, |0|, |0|
|(269)|, |0|, |0|, |1|, |0|, |1|
|coffee."|, |0|, |0|, |1|, |1|, |2|
|upward,|, |0|, |0|, |0|, |1|, |1|
|flower-pots|, |1|, |1|, |1|, |1|, |4|
|experience,|, |0|, |0|, |0|, |1|, |1|
|coffee,"|, |0|, |0|, |3|, |2|, |5|
|clear|, |4|, |2|, |4|, |2|, |12|
|chill.|, |0|, |0|, |1|, |0|, |1|
|well-emptied|, |1|, |1|, |1|, |1|, |4|
|done|, |7|, |2|, |4|, |2|, |15|
|270|, |1|, |0|, |0|, |0|, |1|
|heavens|, |0|, |1|, |0|, |0|, |1|
|type|, |1|, |1|, |1|, |0|, |3|
|i|, |0|, |0|, |0|, |0|, |0|
|_dame|, |1|, |1|, |1|, |1|, |4|
|complacently|, |1|, |0|, |1|, |0|, |2|
|yet."|, |0|, |0|, |1|, |1|, |2|
|interval|, |1|, |1|, |1|, |1|, |4|
|o'clock|, |2|, |1|, |1|, |1|, |5|
|steamer!"|, |0|, |0|, |1|, |1|, |2|
|jocosely,|, |0|, |0|, |0|, |1|, |1|
|break|, |1|, |2|, |1|, |2|, |6|
|seaport|, |1|, |1|, |1|, |1|, |4|
|wood-shed|, |1|, |0|, |1|, |0|, |2|
|company|, |2|, |1|, |0|, |0|, |3|
|master.|, |0|, |0|, |1|, |0|, |1|
|pursued.|, |0|, |0|, |0|, |1|, |1|
|bouk|, |3|, |3|, |0|, |0|, |6|
|her;|, |0|, |0|, |0|, |1|, |1|
|credit|, |1|, |1|, |0|, |0|, |2|
|opening|, |1|, |1|, |1|, |1|, |4|
|communicate.|, |0|, |0|, |1|, |1|, |2|
|glance|, |1|, |4|, |1|, |2|, |8|
|your--in|, |0|, |0|, |1|, |0|, |1|
|bouk"--and|, |0|, |0|, |1|, |0|, |1|
|labour."|, |0|, |0|, |1|, |0|, |1|
|lids|, |1|, |0|, |0|, |0|, |1|
|said,|, |0|, |0|, |4|, |22|, |26|
|teeth,|, |0|, |0|, |2|, |0|, |2|
|bored|, |1|, |2|, |0|, |0|, |3|
|minutes|, |5|, |5|, |4|, |4|, |18|
|title|, |1|, |0|, |0|, |0|, |1|
|by--inclination."|, |0|, |0|, |1|, |1|, |2|
|fatigue|, |1|, |0|, |0|, |0|, |1|
|(310)|, |0|, |0|, |1|, |0|, |1|
|wife,|, |0|, |0|, |1|, |1|, |2|
|absinthe;|, |0|, |0|, |1|, |1|, |2|
|_partie_|, |0|, |0|, |0|, |0|, |0|
|story|, |3|, |3|, |2|, |1|, |9|
|directly|, |1|, |1|, |1|, |1|, |4|
|rise|, |2|, |0|, |1|, |0|, |3|
|wineglass|, |0|, |1|, |0|, |1|, |2|
|vain|, |1|, |1|, |0|, |0|, |2|
|dreadfully.|, |0|, |0|, |1|, |1|, |2|
|really,"|, |0|, |0|, |1|, |1|, |2|
|clasped|, |2|, |4|, |2|, |4|, |12|
|resented|, |1|, |1|, |1|, |1|, |4|
|suddenly,|, |0|, |0|, |1|, |3|, |4|
|"it's|, |0|, |0|, |0|, |0|, |0|
|exhausted|, |1|, |1|, |1|, |1|, |4|
|company,"|, |0|, |0|, |1|, |0|, |1|
|swagger--and|, |0|, |0|, |1|, |0|, |1|
|why--it|, |0|, |0|, |1|, |1|, |2|
|lands|, |1|, |2|, |1|, |1|, |5|
|know--but|, |0|, |0|, |1|, |0|, |1|
|apparent.|, |0|, |0|, |0|, |1|, |1|
|risen|, |1|, |1|, |1|, |1|, |4|
|fortunate|, |1|, |2|, |0|, |1|, |4|
|no,|, |0|, |0|, |1|, |2|, |3|
|discreet|, |2|, |1|, |1|, |1|, |5|
|yet|, |9|, |5|, |6|, |2|, |22|
|switzerland|, |0|, |0|, |0|, |0|, |0|
|friend|, |19|, |8|, |8|, |4|, |39|
|nearsightedly.|, |0|, |0|, |0|, |1|, |1|
|reverses|, |1|, |0|, |0|, |0|, |1|
|midst|, |1|, |1|, |1|, |1|, |4|
|attributes|, |1|, |1|, |0|, |0|, |2|
|demanded|, |1|, |1|, |1|, |1|, |4|
|cela|, |1|, |1|, |1|, |1|, |4|
|indelicate|, |0|, |1|, |0|, |0|, |1|
|rosary:|, |0|, |0|, |1|, |0|, |1|
|stout,|, |0|, |0|, |0|, |1|, |1|
|glance,|, |0|, |0|, |0|, |1|, |1|
|'ll|, |20|, |0|, |0|, |0|, |20|
|noble|, |1|, |0|, |1|, |0|, |2|
|gaily,|, |0|, |0|, |1|, |0|, |1|
|said:|, |0|, |0|, |1|, |0|, |1|
|flower|, |3|, |1|, |3|, |1|, |8|
|will|, |5|, |21|, |4|, |20|, |50|
|staring,|, |0|, |0|, |1|, |1|, |2|
|mean,|, |0|, |0|, |2|, |2|, |4|
|noblesse."|, |0|, |0|, |1|, |0|, |1|
|arm.|, |0|, |0|, |0|, |1|, |1|
|murmured.|, |0|, |0|, |0|, |1|, |1|
|misery|, |1|, |1|, |0|, |0|, |2|
|freckles|, |1|, |1|, |0|, |0|, |2|
|existence|, |1|, |1|, |0|, |0|, |2|
|depths|, |2|, |1|, |2|, |1|, |6|
|bed|, |1|, |1|, |0|, |0|, |2|
|tubs|, |1|, |1|, |1|, |1|, |4|
|doing|, |3|, |3|, |1|, |1|, |8|
|exceed|, |1|, |1|, |1|, |1|, |4|
|arrives,|, |0|, |0|, |0|, |1|, |1|
|beads|, |1|, |0|, |1|, |0|, |2|
|held|, |3|, |1|, |3|, |1|, |8|
|brooked|, |1|, |0|, |1|, |0|, |2|
|peculiar|, |0|, |1|, |0|, |1|, |2|
|considerable|, |3|, |0|, |2|, |0|, |5|
|wondering|, |3|, |3|, |2|, |2|, |10|
|vanter_|, |1|, |0|, |0|, |0|, |1|
|orchards|, |1|, |0|, |1|, |0|, |2|
|needn't|, |0|, |0|, |1|, |0|, |1|
|acted|, |1|, |0|, |1|, |0|, |2|
|stock--if|, |0|, |0|, |1|, |0|, |1|
|well!"|, |0|, |0|, |0|, |1|, |1|
|supposed|, |3|, |3|, |3|, |3|, |12|
|compassion|, |1|, |1|, |0|, |0|, |2|
|girl;|, |0|, |0|, |0|, |1|, |1|
|pride|, |1|, |0|, |0|, |0|, |1|
|happiest,|, |0|, |0|, |1|, |0|, |1|
|divided|, |1|, |0|, |1|, |0|, |2|
|served|, |2|, |2|, |2|, |2|, |8|
|rickety|, |1|, |1|, |1|, |1|, |4|
|sadly|, |1|, |2|, |1|, |2|, |6|
|tongues.|, |0|, |0|, |1|, |1|, |2|
|days|, |2|, |2|, |1|, |1|, |6|
|finger-tips|, |1|, |0|, |0|, |0|, |1|
|cure|, |2|, |1|, |2|, |1|, |6|
|appeal--the|, |0|, |0|, |1|, |0|, |1|
|'_fine_'!"|, |0|, |0|, |1|, |0|, |1|
|tea-party."|, |0|, |0|, |1|, |1|, |2|
|florence,|, |0|, |0|, |0|, |0|, |0|
|now,|, |0|, |0|, |2|, |1|, |3|
|portion|, |0|, |1|, |0|, |1|, |2|
|count|, |0|, |0|, |0|, |0|, |0|
|complimented|, |1|, |1|, |1|, |1|, |4|
|scatter|, |1|, |1|, |0|, |0|, |2|
|items|, |1|, |0|, |1|, |0|, |2|
|fou|, |1|, |0|, |1|, |0|, |2|
|sunspot|, |1|, |1|, |1|, |1|, |4|
|house|, |8|, |9|, |3|, |3|, |23|
|conveyed|, |1|, |0|, |1|, |0|, |2|
|after|, |14|, |14|, |14|, |14|, |56|
|contrary.|, |0|, |0|, |1|, |0|, |1|
|say?|, |0|, |0|, |1|, |0|, |1|
|brim.|, |0|, |0|, |1|, |0|, |1|
|up|, |34|, |24|, |22|, |16|, |96|
|"to|, |0|, |0|, |1|, |1|, |2|
|case|, |6|, |4|, |5|, |3|, |18|
|swain|, |1|, |0|, |1|, |0|, |2|
|wo|, |4|, |2|, |0|, |0|, |6|
|fourth|, |1|, |1|, |1|, |1|, |4|
|vision|, |2|, |1|, |1|, |0|, |4|
|flare|, |1|, |0|, |1|, |0|, |2|
|stoical|, |0|, |1|, |0|, |0|, |1|
|inscrutably|, |1|, |0|, |1|, |0|, |2|
|emerged|, |0|, |1|, |0|, |1|, |2|
|_sans|, |1|, |0|, |1|, |0|, |2|
|tree."|, |0|, |0|, |1|, |1|, |2|
|tree,"|, |0|, |0|, |1|, |1|, |2|
|thereupon|, |1|, |0|, |1|, |0|, |2|
|whom--i|, |0|, |0|, |0|, |0|, |0|
|"what|, |0|, |0|, |0|, |0|, |0|
|juncture|, |1|, |1|, |1|, |1|, |4|
|conceived--whether|, |0|, |0|, |1|, |0|, |1|
|hall.|, |0|, |0|, |1|, |1|, |2|
|splendid|, |1|, |0|, |0|, |0|, |1|
|last,|, |0|, |0|, |1|, |1|, |2|
|having|, |3|, |1|, |3|, |1|, |8|
|gape|, |1|, |0|, |1|, |0|, |2|
|delicately|, |1|, |2|, |1|, |2|, |6|
|composes|, |0|, |0|, |0|, |0|, |0|
|_on|, |0|, |0|, |0|, |0|, |0|
|tired."|, |0|, |0|, |1|, |1|, |2|
|priests|, |1|, |1|, |0|, |0|, |2|
|since|, |13|, |10|, |7|, |6|, |36|
|added:|, |0|, |0|, |1|, |0|, |1|
|few|, |9|, |5|, |9|, |5|, |28|
|(293)|, |0|, |0|, |1|, |0|, |1|
|cousin."|, |0|, |0|, |0|, |1|, |1|
|normande|, |0|, |0|, |0|, |0|, |0|
|show|, |3|, |4|, |3|, |4|, |14|
|neat|, |1|, |1|, |1|, |1|, |4|
|steps|, |2|, |1|, |1|, |1|, |5|
|night),|, |0|, |0|, |0|, |1|, |1|
|absurd|, |1|, |0|, |0|, |0|, |1|
|death|, |3|, |2|, |2|, |1|, |8|
|present|, |2|, |2|, |2|, |2|, |8|
|effort.|, |0|, |0|, |1|, |1|, |2|
|high-born|, |1|, |0|, |0|, |0|, |1|
|byron's|, |0|, |0|, |0|, |0|, |0|
|go?|, |0|, |0|, |1|, |1|, |2|
|experience!--i|, |0|, |0|, |0|, |0|, |0|
|(284)|, |0|, |0|, |1|, |0|, |1|
|frankly|, |1|, |0|, |1|, |0|, |2|
|"_partie_,|, |0|, |0|, |0|, |0|, |0|
|soberly.|, |0|, |0|, |0|, |1|, |1|
|influences|, |1|, |0|, |1|, |0|, |2|
|crooked|, |3|, |3|, |3|, |3|, |12|
|spirit|, |2|, |0|, |0|, |0|, |2|
|serious|, |1|, |1|, |0|, |0|, |2|
|breast|, |1|, |0|, |1|, |0|, |2|
|motive|, |1|, |1|, |1|, |0|, |3|
|lucky|, |1|, |0|, |0|, |0|, |1|
|him|, |30|, |25|, |20|, |16|, |91|
|refresh|, |1|, |1|, |1|, |1|, |4|
|itself|, |1|, |0|, |0|, |0|, |1|
|red.|, |0|, |0|, |1|, |0|, |1|
|flinched--i|, |0|, |0|, |0|, |0|, |0|
|antiquity|, |1|, |1|, |1|, |1|, |4|
|embroidery|, |4|, |4|, |3|, |2|, |13|
|sensation|, |0|, |2|, |0|, |1|, |3|
|appealed|, |2|, |1|, |2|, |1|, |6|
|spite|, |1|, |0|, |1|, |0|, |2|
|passed|, |5|, |5|, |5|, |5|, |20|
|leaned|, |4|, |2|, |3|, |2|, |11|
|pressing|, |1|, |1|, |0|, |1|, |3|
|interfere|, |1|, |1|, |0|, |0|, |2|
|pyramid|, |2|, |2|, |2|, |2|, |8|
|laughed.|, |0|, |0|, |1|, |0|, |1|
|brilliant|, |0|, |1|, |0|, |1|, |2|
|her--her--not|, |0|, |0|, |1|, |1|, |2|
|afraid,"|, |0|, |0|, |1|, |0|, |1|
|appealing|, |1|, |1|, |0|, |1|, |3|
|alcibiade|, |0|, |0|, |0|, |0|, |0|
|servants."|, |0|, |0|, |1|, |1|, |2|
|holiday|, |1|, |1|, |0|, |0|, |2|
|traveller),|, |0|, |0|, |0|, |1|, |1|
|door,|, |0|, |0|, |1|, |3|, |4|
|distance|, |1|, |1|, |1|, |0|, |3|
|headshake|, |1|, |0|, |0|, |0|, |1|
|monsieur--!|, |0|, |0|, |1|, |0|, |1|
|decent,|, |0|, |0|, |1|, |0|, |1|
|down|, |13|, |16|, |8|, |12|, |49|
|shaped|, |1|, |1|, |1|, |1|, |4|
|seven!|, |0|, |0|, |0|, |1|, |1|
|lips|, |2|, |5|, |2|, |2|, |11|
|past|, |5|, |3|, |2|, |2|, |12|
|gallery|, |1|, |1|, |1|, |1|, |4|
|ought|, |2|, |2|, |2|, |2|, |8|
|cup|, |2|, |2|, |2|, |2|, |8|
|aware|, |2|, |0|, |0|, |0|, |2|
|conscious|, |4|, |2|, |4|, |2|, |12|
|contrary|, |3|, |1|, |2|, |0|, |6|
|hour,"|, |0|, |0|, |1|, |1|, |2|
|showing|, |2|, |2|, |2|, |2|, |8|
|more,|, |0|, |0|, |1|, |2|, |3|
|breathed|, |2|, |0|, |1|, |0|, |3|
|intense|, |1|, |0|, |1|, |0|, |2|
|fingers'|, |0|, |0|, |1|, |1|, |2|
|gratifying|, |0|, |1|, |0|, |0|, |1|
|central|, |1|, |1|, |1|, |1|, |4|
|music|, |1|, |0|, |0|, |0|, |1|
|disappointed."|, |0|, |0|, |1|, |1|, |2|
|who|, |21|, |21|, |17|, |20|, |79|
|charmingly,|, |0|, |0|, |1|, |1|, |2|
|claim.|, |0|, |0|, |1|, |0|, |1|
|solemnity,|, |0|, |0|, |1|, |0|, |1|
|saying:|, |0|, |0|, |1|, |0|, |1|
|undisturbed|, |1|, |1|, |1|, |1|, |4|
|order.|, |0|, |0|, |1|, |1|, |2|
|there--one|, |0|, |0|, |1|, |0|, |1|
|longer.|, |0|, |0|, |0|, |2|, |2|
|quavered,|, |0|, |0|, |2|, |0|, |2|
|informant|, |1|, |0|, |1|, |0|, |2|
|analogy,|, |0|, |0|, |0|, |1|, |1|
|question,|, |0|, |0|, |1|, |1|, |2|
|ruined.|, |0|, |0|, |0|, |1|, |1|
|particularly|, |1|, |0|, |1|, |0|, |2|
|morning."|, |0|, |0|, |1|, |1|, |2|
|and|, |281|, |228|, |255|, |220|, |984|
|_le|, |1|, |0|, |1|, |0|, |2|
|way,"|, |0|, |0|, |1|, |2|, |3|
|affliction|, |1|, |1|, |1|, |0|, |3|
|propriety|, |1|, |0|, |1|, |0|, |2|
|death,|, |0|, |0|, |1|, |0|, |1|
|you,"|, |0|, |0|, |2|, |3|, |5|
|swept|, |1|, |1|, |1|, |1|, |4|
|stick;|, |0|, |0|, |1|, |1|, |2|
|flirting,|, |0|, |0|, |0|, |1|, |1|
|statement|, |1|, |1|, |1|, |1|, |4|
|speaks|, |1|, |1|, |1|, |1|, |4|
|nearly|, |1|, |2|, |1|, |2|, |6|
|provocation|, |0|, |1|, |0|, |0|, |1|
|these|, |6|, |2|, |6|, |2|, |16|
|that.|, |0|, |0|, |3|, |1|, |4|
|crazy|, |3|, |3|, |2|, |2|, |10|
|faint|, |2|, |3|, |2|, |3|, |10|
|stretch|, |1|, |0|, |1|, |0|, |2|
|bust|, |2|, |2|, |0|, |0|, |4|
|chances|, |1|, |0|, |0|, |0|, |1|
|spells|, |1|, |0|, |1|, |0|, |2|
|voila|, |1|, |0|, |0|, |0|, |1|
|achieved|, |1|, |0|, |1|, |0|, |2|
|lodged?"|, |0|, |0|, |1|, |1|, |2|
|retire|, |1|, |1|, |0|, |0|, |2|
|voice,--"i|, |0|, |0|, |0|, |0|, |0|
|descried|, |1|, |1|, |1|, |1|, |4|
|is"--and|, |0|, |0|, |1|, |0|, |1|
|standing|, |0|, |2|, |0|, |2|, |4|
|intrude;|, |0|, |0|, |0|, |1|, |1|
|reverses--with|, |0|, |0|, |1|, |0|, |1|
|restoratively,|, |0|, |0|, |1|, |0|, |1|
|you!|, |0|, |0|, |1|, |1|, |2|
|convenience,|, |0|, |0|, |1|, |1|, |2|
|abstained|, |1|, |1|, |1|, |1|, |4|
|quelle|, |1|, |0|, |1|, |0|, |2|
|ways.|, |0|, |0|, |1|, |0|, |1|
|madam--_tant|, |0|, |0|, |1|, |0|, |1|
|wide,|, |0|, |0|, |0|, |1|, |1|
|view|, |5|, |2|, |5|, |2|, |14|
|hovered|, |1|, |0|, |0|, |0|, |1|
|spencer's,|, |0|, |0|, |0|, |0|, |0|
|correctly,|, |0|, |0|, |1|, |1|, |2|
|incommodity|, |1|, |1|, |1|, |1|, |4|
|asking|, |2|, |2|, |2|, |2|, |8|
|(302)|, |0|, |0|, |1|, |0|, |1|
|doing?|, |0|, |0|, |1|, |1|, |2|
|french|, |0|, |0|, |0|, |0|, |0|
|hopeless|, |1|, |1|, |0|, |0|, |2|
|opened|, |1|, |2|, |1|, |2|, |6|
|apricots|, |4|, |4|, |2|, |1|, |11|
|helpless|, |1|, |2|, |1|, |2|, |6|
|faces|, |1|, |1|, |0|, |0|, |2|
|done.|, |0|, |0|, |2|, |0|, |2|
|reins|, |1|, |1|, |1|, |1|, |4|
|place;|, |0|, |0|, |1|, |1|, |2|
|secretly|, |2|, |3|, |0|, |1|, |6|
|occasion|, |2|, |1|, |2|, |1|, |6|
|face."|, |0|, |0|, |1|, |1|, |2|
|quays,|, |0|, |0|, |0|, |1|, |1|
|myself.|, |0|, |0|, |2|, |2|, |4|
|himself|, |7|, |6|, |3|, |2|, |18|
|quest|, |1|, |0|, |1|, |0|, |2|
|listening|, |2|, |2|, |1|, |1|, |6|
|admonished|, |1|, |0|, |1|, |0|, |2|
|ceased|, |1|, |1|, |0|, |0|, |2|
|transit|, |2|, |2|, |1|, |1|, |6|
|aggressive|, |1|, |0|, |0|, |0|, |1|
|contemplation|, |1|, |1|, |0|, |0|, |2|
|cold|, |1|, |0|, |1|, |0|, |2|
|can|, |6|, |4|, |5|, |3|, |18|
|easy|, |2|, |2|, |2|, |2|, |8|
|lap|, |2|, |2|, |0|, |0|, |4|
|comtesse|, |0|, |0|, |0|, |0|, |0|
|thin-stemmed|, |1|, |1|, |1|, |0|, |3|
|fountains|, |1|, |0|, |0|, |0|, |1|
|affection|, |1|, |0|, |0|, |0|, |1|
|house.|, |0|, |0|, |0|, |1|, |1|
|sown|, |1|, |0|, |0|, |0|, |1|
|else|, |5|, |3|, |2|, |1|, |11|
|cunning|, |1|, |0|, |1|, |0|, |2|
|outset|, |1|, |1|, |1|, |1|, |4|
|hoard|, |1|, |0|, |1|, |0|, |2|
|pupil|, |3|, |3|, |0|, |1|, |7|
|fall|, |1|, |1|, |1|, |0|, |3|
|thirty,|, |0|, |0|, |1|, |1|, |2|
|"two|, |0|, |0|, |0|, |0|, |0|
|ship.|, |0|, |0|, |2|, |2|, |4|
|relation|, |2|, |1|, |2|, |1|, |6|
|me?|, |0|, |0|, |1|, |1|, |2|
|"her|, |0|, |0|, |0|, |0|, |0|
|thoughtfully;|, |0|, |0|, |1|, |1|, |2|
|delightful."|, |0|, |0|, |1|, |1|, |2|
|eagerness|, |2|, |1|, |1|, |0|, |4|
|"baptist|, |0|, |0|, |0|, |0|, |0|
|that?"|, |0|, |0|, |3|, |3|, |6|
|languir_.|, |0|, |0|, |1|, |0|, |1|
|sitting|, |3|, |6|, |3|, |6|, |18|
|me--i|, |0|, |0|, |0|, |0|, |0|
|breadth|, |1|, |0|, |1|, |0|, |2|
|rejoined|, |0|, |4|, |0|, |1|, |5|
|281|, |1|, |0|, |0|, |0|, |1|
|there|, |32|, |33|, |21|, |25|, |111|
|breathless|, |1|, |1|, |0|, |0|, |2|
|n't;|, |0|, |0|, |0|, |1|, |1|
|remarked|, |3|, |2|, |2|, |0|, |7|
|left,|, |0|, |0|, |1|, |0|, |1|
|vessel,|, |0|, |0|, |0|, |1|, |1|
|weren't|, |0|, |0|, |3|, |0|, |3|
|chin|, |1|, |1|, |0|, |0|, |2|
|deal|, |5|, |6|, |3|, |4|, |18|
|secretly."|, |0|, |0|, |0|, |1|, |1|
|hardest|, |1|, |0|, |1|, |0|, |2|
|accommodated|, |1|, |0|, |1|, |0|, |2|
|tall,|, |0|, |0|, |0|, |1|, |1|
|observed,|, |0|, |0|, |2|, |1|, |3|
|enter|, |1|, |1|, |0|, |0|, |2|
|bust,|, |0|, |0|, |1|, |1|, |2|
|howl,|, |0|, |0|, |1|, |0|, |1|
|bloom|, |1|, |1|, |1|, |1|, |4|
|fortress|, |2|, |2|, |1|, |1|, |6|
|had,|, |0|, |0|, |1|, |0|, |1|
|soft,|, |0|, |0|, |0|, |2|, |2|
|attendance|, |1|, |0|, |1|, |0|, |2|
|"as|, |0|, |0|, |0|, |0|, |0|
|identified|, |1|, |1|, |0|, |0|, |2|
|_parages_|, |1|, |0|, |0|, |0|, |1|
|"if|, |0|, |0|, |3|, |4|, |7|
|said--"i|, |0|, |0|, |0|, |0|, |0|
|cognac,|, |0|, |0|, |0|, |1|, |1|
|marriage?"|, |0|, |0|, |1|, |1|, |2|
|mr|, |0|, |0|, |0|, |0|, |0|
|striking|, |1|, |0|, |1|, |0|, |2|
|shop."|, |0|, |0|, |1|, |0|, |1|
|(279)|, |0|, |0|, |1|, |0|, |1|
|lap.|, |0|, |0|, |1|, |1|, |2|
|morrow.|, |0|, |0|, |1|, |0|, |1|
|associations|, |1|, |0|, |0|, |0|, |1|
|"she's|, |0|, |0|, |1|, |0|, |1|
|senses)|, |0|, |0|, |1|, |0|, |1|
|shy|, |2|, |2|, |1|, |0|, |5|
|beau|, |2|, |0|, |2|, |0|, |4|
|pretty|, |10|, |12|, |10|, |10|, |42|
|flinched;|, |0|, |0|, |0|, |1|, |1|
|idiot;|, |0|, |0|, |0|, |1|, |1|
|alone,|, |0|, |0|, |1|, |1|, |2|
|speedily--europe|, |0|, |0|, |0|, |0|, |0|
|stripped.|, |0|, |0|, |1|, |0|, |1|
|things"--and|, |0|, |0|, |1|, |0|, |1|
|not--but|, |0|, |0|, |0|, |0|, |0|
|in?"|, |0|, |0|, |1|, |1|, |2|
|_coffee?_|, |0|, |0|, |0|, |1|, |1|
|suppose|, |4|, |4|, |3|, |2|, |13|
|elapsed|, |1|, |2|, |0|, |1|, |4|
|least|, |8|, |3|, |7|, |3|, |21|
|wearily.|, |0|, |0|, |0|, |1|, |1|
